date,value
2021-11-10,8.7
2021-12-09,8.5
2022-01-12,9.0
2022-02-10,9.8
2022-03-11,9.2
2022-04-11,9.7
2022-05-13,10.5
2022-06-10,11.1
2022-07-11,11.4
2022-08-12,12.0
2022-09-09,12.2
2022-10-11,12.1
2022-11-10,11.8
2022-12-12,12.4
2023-01-10,11.8
2023-02-10,12.6
2023-03-10,12.9
2023-04-11,12.7
2023-05-11,12.4
2023-06-13,11.6
2023-07-11,11.3
2023-08-11,10.7
2023-09-11,10.6
2023-10-13,10.3
2023-11-13,10.3
2023-12-13,10.0
2024-01-12,9.7
2024-02-09,8.7
2024-03-15,8.7
2024-04-12,8.3
2024-05-11,7.2
2024-05-12,7.2
2024-06-14,7.0
2024-07-12,6.2
2024-08-13,6.3
2024-09-13,6.3
2024-10-14,6.8
2024-11-11,7.5
2024-12-13,7.1
2025-01-14,7.3
2025-02-14,7.0
2025-03-14,7.0
2025-04-13,7.0
2025-05-14,8.0
2025-06-13,7.9
2025-07-14,8.3
2025-08-13,8.8
