date,open,high,low,close,volume
2022-08-12,69.441,73.241,59.541,59.541,119133625.0
2022-08-15,56.441,60.631,56.141,56.261,59475630.0
2022-08-16,55.441,61.101,54.451,60.131,45226222.0
2022-08-17,59.791,61.301,56.241,57.081,30965039.0
2022-08-18,56.461,58.231,54.941,57.091,20379982.0
2022-08-19,57.451,58.541,53.461,53.701,19856238.0
2022-08-22,53.441,56.401,53.391,55.791,17120114.0
2022-08-23,55.371,60.271,55.241,59.311,21665593.0
2022-08-24,58.741,60.401,56.671,58.191,12285793.0
2022-08-25,58.451,58.741,53.791,54.741,13214891.0
2022-08-26,54.251,55.381,49.441,49.641,21365287.0
2022-08-29,48.481,50.711,48.131,48.531,11626638.0
2022-08-30,48.461,52.211,48.361,51.181,16427156.0
2022-08-31,51.441,53.201,49.441,49.621,12120606.0
2022-09-01,56.541,59.241,53.291,53.911,44421194.0
2022-09-02,54.351,59.241,54.351,55.541,26976389.0
2022-09-05,54.541,55.061,50.711,51.611,20327715.0
2022-09-06,52.391,53.021,50.781,52.741,12381516.0
2022-09-07,53.041,56.731,52.741,54.311,14913190.0
2022-09-08,54.301,56.641,53.951,56.061,12792981.0
2022-09-09,56.451,56.921,54.361,55.241,6704055.0
2022-09-13,55.631,57.661,55.021,55.251,7799766.0
2022-09-14,54.441,58.931,53.771,58.651,14025063.0
2022-09-15,57.951,60.841,55.241,55.641,16768023.0
2022-09-16,55.331,64.641,55.111,62.041,27395163.0
2022-09-19,62.041,67.471,61.521,62.311,21933351.0
2022-09-20,62.941,64.321,60.451,62.151,11899013.0
2022-09-21,61.941,62.441,59.501,60.251,10193140.0
2022-09-22,60.021,65.031,59.841,62.781,11563234.0
2022-09-23,62.231,63.781,60.241,60.561,10718889.0
2022-09-26,59.751,61.801,58.771,59.741,9431701.0
2022-09-27,59.741,61.191,57.551,61.191,10398608.0
2022-09-28,60.241,60.491,56.811,57.631,10687492.0
2022-09-29,58.361,61.021,57.441,60.341,10062079.0
2022-09-30,60.221,61.421,58.251,58.261,7163333.0
2022-10-10,55.341,55.341,46.501,46.501,17192303.0
2022-10-11,45.411,45.891,37.171,37.441,42514760.0
2022-10-12,36.631,38.471,35.661,37.991,34500124.0
2022-10-13,37.241,40.081,36.891,38.241,27786701.0
2022-10-14,38.641,38.901,36.931,38.361,26473453.0
2022-10-17,37.551,40.641,37.471,40.021,31442274.0
2022-10-18,39.591,39.931,38.791,39.201,17666665.0
2022-10-19,38.931,39.611,37.041,37.241,21493781.0
2022-10-20,36.841,41.301,36.641,39.141,38089292.0
2022-10-21,38.441,38.441,37.241,37.791,20923505.0
2022-10-24,37.791,39.431,37.731,38.241,20343718.0
2022-10-25,38.031,39.201,37.201,38.331,16350062.0
2022-10-26,38.551,39.741,37.541,39.381,23138719.0
2022-10-27,39.891,39.941,38.121,38.841,25173627.0
2022-10-28,38.701,39.811,38.241,38.391,21378750.0
2022-10-31,38.621,45.731,38.551,44.121,40248329.0
2022-11-01,43.441,45.591,43.331,44.511,23373920.0
2022-11-02,44.531,45.641,43.651,44.021,18341068.0
2022-11-03,44.011,44.911,43.051,44.351,18195328.0
2022-11-04,43.551,44.311,42.541,43.781,19257466.0
2022-11-07,43.441,43.691,42.021,43.031,19138619.0
2022-11-08,43.021,47.571,43.021,46.471,31993667.0
2022-11-09,46.441,49.811,46.411,48.831,25901582.0
2022-11-10,48.141,48.741,45.531,45.691,19736091.0
2022-11-11,47.321,47.341,45.451,46.041,14390587.0
2022-11-14,46.121,46.241,43.981,45.041,11937612.0
2022-11-15,45.041,47.991,44.571,47.001,13827590.0
2022-11-16,47.391,47.391,45.001,45.211,11987054.0
2022-11-17,44.901,46.821,44.141,46.331,11383354.0
2022-11-18,45.951,46.821,44.861,45.191,9000789.0
2022-11-21,44.551,45.831,44.551,45.181,6045714.0
2022-11-22,45.121,46.421,44.441,44.971,9095430.0
2022-11-23,45.021,45.351,41.431,43.041,14601665.0
2022-11-24,43.001,44.111,42.861,43.421,7556608.0
2022-11-25,43.041,44.591,42.461,42.901,7923905.0
2022-11-28,42.141,43.031,41.101,41.351,9961786.0
2022-11-29,41.291,42.161,41.021,41.561,8446791.0
2022-11-30,41.621,41.741,40.501,40.881,8475504.0
2022-12-01,41.531,42.941,41.401,42.151,10637205.0
2022-12-02,41.841,43.941,41.751,42.691,9510821.0
2022-12-05,43.321,43.611,42.361,43.091,6706085.0
2022-12-06,42.591,45.941,42.591,44.511,13244351.0
2022-12-07,44.441,45.181,44.021,44.641,6987422.0
2022-12-08,44.441,45.591,44.041,44.721,7556530.0
2022-12-09,44.581,46.211,44.481,45.191,12336370.0
2022-12-12,44.801,46.791,44.391,45.651,8902193.0
2022-12-13,45.471,45.771,44.241,44.331,6796636.0
2022-12-14,45.861,46.091,44.041,44.051,6806794.0
2022-12-15,43.701,45.071,43.561,43.681,6114217.0
2022-12-16,43.701,43.701,42.291,42.551,6226726.0
2022-12-19,42.491,42.721,41.041,41.281,4817118.0
2022-12-20,41.401,41.861,40.871,41.271,3675107.0
2022-12-21,41.271,41.281,39.641,39.951,4578371.0
2022-12-22,40.241,40.401,39.141,39.201,3739417.0
2022-12-23,39.041,39.821,38.691,39.521,4174819.0
2022-12-26,39.521,41.001,39.501,40.641,4632977.0
2022-12-27,40.661,41.141,39.991,40.771,4279635.0
2022-12-28,40.741,40.741,39.761,39.921,2904206.0
2022-12-29,40.041,40.571,39.521,40.041,3400797.0
