date,open,high,low,close,volume,amount,turn,pct_change,windcode
2023-11-03,4.627,4.647,4.597,4.607,1190155.0,,,,601668.SH
2023-11-06,4.627,4.737,4.597,4.697,2206721.0,,,1.953548947254169,601668.SH
2023-11-07,4.687,4.697,4.617,4.627,1366477.0,,,-1.4903129657228065,601668.SH
2023-11-08,4.627,4.637,4.577,4.597,1190189.0,,,-0.6483682731791562,601668.SH
2023-11-09,4.597,4.667,4.587,4.607,1282660.0,,,0.2175331738089925,601668.SH
2023-11-10,4.597,4.607,4.507,4.527,1757139.0,,,-1.7364879531148292,601668.SH
2023-11-13,4.537,4.607,4.517,4.597,1580993.0,,,1.5462778882262107,601668.SH
2023-11-14,4.597,4.637,4.557,4.587,969450.0,,,-0.21753317380902581,601668.SH
2023-11-15,4.627,4.657,4.597,4.627,1343709.0,,,0.872029649008077,601668.SH
2023-11-16,4.627,4.637,4.567,4.597,872968.0,,,-0.6483682731791562,601668.SH
2023-11-17,4.587,4.587,4.527,4.547,1196814.0,,,-1.0876658690450403,601668.SH
2023-11-20,4.557,4.567,4.507,4.527,1365129.0,,,-0.4398504508467016,601668.SH
2023-11-21,4.547,4.627,4.547,4.577,2028126.0,,,1.1044842058758553,601668.SH
2023-11-22,4.557,4.587,4.537,4.547,965641.0,,,-0.6554511688879217,601668.SH
2023-11-23,4.537,4.587,4.517,4.577,1109401.0,,,0.6597756762700691,601668.SH
2023-11-24,4.577,4.617,4.537,4.557,963274.0,,,-0.4369674459252737,601668.SH
2023-11-27,4.557,4.567,4.447,4.477,2268359.0,,,-1.7555409260478383,601668.SH
2023-11-28,4.477,4.487,4.457,4.467,1095967.0,,,-0.22336385972751005,601668.SH
2023-11-29,4.477,4.477,4.317,4.397,2791404.0,,,-1.5670472352809384,601668.SH
2023-11-30,4.387,4.447,4.367,4.427,1397569.0,,,0.682283375028403,601668.SH
2023-12-01,4.417,4.437,4.377,4.407,1810101.0,,,-0.4517732098486493,601668.SH
2023-12-04,4.407,4.427,4.337,4.337,1484710.0,,,-1.5883821193555803,601668.SH
2023-12-05,4.327,4.337,4.267,4.267,1374947.0,,,-1.614018907078607,601668.SH
2023-12-06,4.257,4.267,4.207,4.227,1567765.0,,,-0.9374267635340994,601668.SH
2023-12-07,4.207,4.247,4.177,4.217,1198348.0,,,-0.23657440264964746,601668.SH
2023-12-08,4.227,4.277,4.207,4.217,1236167.0,,,0.0,601668.SH
2023-12-11,4.207,4.277,4.137,4.247,2038039.0,,,0.7114062129476073,601668.SH
2023-12-12,4.237,4.317,4.227,4.307,1584940.0,,,1.4127619496115074,601668.SH
2023-12-13,4.297,4.307,4.217,4.217,1161915.0,,,-2.089621546319964,601668.SH
2023-12-14,4.237,4.277,4.207,4.207,1017880.0,,,-0.237135404315858,601668.SH
2023-12-15,4.237,4.257,4.177,4.187,1270440.0,,,-0.4753981459472256,601668.SH
2023-12-18,4.177,4.217,4.147,4.157,934872.0,,,-0.7165034631000822,601668.SH
2023-12-19,4.157,4.177,4.107,4.137,1277489.0,,,-0.48111618955979374,601668.SH
2023-12-20,4.137,4.187,4.117,4.127,1184581.0,,,-0.2417210539037873,601668.SH
2023-12-21,4.107,4.177,4.097,4.177,1173504.0,,,1.2115338017930632,601668.SH
2023-12-22,4.177,4.237,4.157,4.217,1239218.0,,,0.9576250897773475,601668.SH
2023-12-25,4.217,4.217,4.157,4.177,835240.0,,,-0.9485416172634542,601668.SH
2023-12-26,4.177,4.197,4.157,4.167,707272.0,,,-0.23940627244433133,601668.SH
2023-12-27,4.177,4.207,4.137,4.187,958293.0,,,0.4799616030717546,601668.SH
2023-12-28,4.177,4.297,4.167,4.277,1571808.0,,,2.149510389300202,601668.SH
2023-12-29,4.267,4.317,4.227,4.267,1515531.0,,,-0.23380874444703936,601668.SH
2024-01-02,4.277,4.277,4.197,4.197,1630513.0,,,-1.6404968361846795,601668.SH
2024-01-03,4.197,4.247,4.187,4.237,1706957.0,,,0.9530617107457617,601668.SH
