date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,55.09,55.94,54.32,55.25,20611589,2213454650,1.71,,300750.SZ
2020-01-02,55.25,56.63,54.46,56.3,18084178,1956828808,1.5,1.900452488687776,300750.SZ
2020-01-05,57.2,58.84,55.4,56.06,26500200,2958351779,2.2,-0.4262877442273494,300750.SZ
2020-01-06,56.02,56.34,55.2,55.76,13507544,1461154189,1.12,-0.5351409204423896,300750.SZ
2020-01-07,56.02,57.3,55.04,56.32,19224068,2098374347,1.6,1.0043041606886627,300750.SZ
2020-01-08,57.56,59.35,56.53,59.1,20164351,2287090666,1.68,4.936079545454541,300750.SZ
2020-01-09,58.69,58.69,57.39,58.23,14428007,1628569248,1.2,-1.4720812182741239,300750.SZ
2020-01-12,59.61,60.89,58.69,60.07,21597445,2516539925,1.8,3.1598832217070383,300750.SZ
2020-01-13,61.41,62.05,59.19,59.46,21768473,2585867747,1.81,-1.0154819377393043,300750.SZ
2020-01-14,59.46,60.42,57.66,59.25,17758720,2031327383,1.48,-0.3531786074672083,300750.SZ
2020-01-15,59.61,59.87,58.51,59.82,12934158,1492301746,1.08,0.9620253164557058,300750.SZ
2020-01-16,59.8,60.41,58.58,59.14,14662407,1694771901,1.22,-1.1367435640254109,300750.SZ
2020-01-19,59.09,64.28,58.02,63.31,24892200,2992287056,2.07,7.0510652688535735,300750.SZ
2020-01-20,62.96,63.21,61.9,62.51,14267108,1734790906,1.19,-1.2636234402148228,300750.SZ
2020-01-21,62.51,68.77,61.35,68.77,34991561,4493837402,2.91,10.014397696368583,300750.SZ
2020-01-22,68.09,70.4,64.29,67.1,35986224,4755930193,2.99,-2.428384469972378,300750.SZ
2020-02-02,65.04,73.73,65.01,69.56,52634602,7148822247,4.38,3.6661698956780953,300750.SZ
2020-02-03,74.91,76.52,71.95,76.52,35913583,5283954889,2.99,10.005750431282333,300750.SZ
2020-02-04,81.28,84.17,80.32,84.17,53082382,8588999755,4.41,9.99738630423419,300750.SZ
2020-02-05,79.66,87.3,78.62,87.3,57918993,9265610935,4.82,3.7186646073422702,300750.SZ
2020-02-06,85.31,87.02,81.68,82.32,45499480,7426674364,3.78,-5.704467353951892,300750.SZ
2020-02-09,82.74,86.63,82.22,84.92,37540921,6161572536,3.12,3.158406219630727,300750.SZ
2020-02-10,85.92,86.33,80.99,81.4,33994559,5451183356,2.83,-4.145077720207246,300750.SZ
2020-02-11,78.91,83.17,78.13,82.04,32586206,5174595055,2.71,0.7862407862407883,300750.SZ
2020-02-12,80.16,81.9,78.98,80.34,31360960,4914616428,2.61,-2.0721599219892806,300750.SZ
2020-02-13,81.66,82.17,76.5,77.03,43961853,6739413554,3.66,-4.119990042320143,300750.SZ
2020-02-16,76.57,80.25,76.51,79.19,34447133,5309578996,2.86,2.804102297806055,300750.SZ
2020-02-17,79.19,81.71,78.55,80.48,28230513,4400767113,2.35,1.6289935597929128,300750.SZ
2020-02-18,84.79,84.84,78.57,78.73,41816783,6598898913,3.48,-2.1744532803180894,300750.SZ
2020-02-19,80.42,84.79,78.62,82.22,51844020,8254242623,4.31,4.432871840467412,300750.SZ
2020-02-20,81.09,83.51,79.77,82.17,33805137,5376640660,2.81,-0.06081245439065741,300750.SZ
2020-02-23,80.68,82.14,78.36,79.35,36523081,5670550935,3.04,-3.431909456005855,300750.SZ
2020-02-24,76.95,85.05,76.49,83.17,51602630,8116792624,4.29,4.814114681789539,300750.SZ
2020-02-25,81.55,82.66,77.44,78.55,33827986,5273485008,2.81,-5.554887579656132,300750.SZ
2020-02-26,79.7,80.51,76.47,76.82,33200245,5062343300,2.76,-2.2024188415022294,300750.SZ
2020-02-27,71.94,74.51,69.64,69.72,50844719,7090643685,4.23,-9.242384795626135,300750.SZ
2020-03-01,71.33,72.95,69.35,71.94,31815002,4426474527,2.65,3.184165232358005,300750.SZ
2020-03-02,75.03,76.92,73.95,74.91,29691061,4366384638,2.47,4.128440366972486,300750.SZ
2020-03-03,73.99,74.97,71.83,73.85,20594614,2945905656,1.71,-1.4150313709785145,300750.SZ
2020-03-04,75.3,75.97,72.97,74.63,22463328,3254884224,1.87,1.0561949898442835,300750.SZ
2020-03-05,72.98,75.7,72.71,73.75,15980869,2309879439,1.33,-1.179150475680013,300750.SZ
2020-03-08,71.43,72.41,68.35,68.58,29425285,4022533011,2.45,-7.010169491525431,300750.SZ
2020-03-09,68.66,72.81,68.35,72.22,29274470,4026499803,2.43,5.307669874599008,300750.SZ
2020-03-10,73.49,76.35,71.33,72.34,33923207,4857506589,2.82,0.16615895873719477,300750.SZ
2020-03-11,69.99,70.28,67.48,68.96,33385759,4454589854,2.78,-4.672380425767219,300750.SZ
2020-03-12,64.8,68.76,64.75,67.88,27455284,3557983786,2.28,-1.5661252900232014,300750.SZ
2020-03-15,65.78,66.23,61.1,61.18,49048485,5992811655,4.08,-9.870359457866817,300750.SZ
2020-03-16,62.18,63.17,57.17,60.61,39220328,4571660103,3.26,-0.9316770186335366,300750.SZ
2020-03-17,61.1,63.46,59.61,60.3,31338376,3757216350,2.61,-0.5114667546609497,300750.SZ
2020-03-18,61.15,61.41,57.4,59.12,33156307,3803916536,2.76,-1.9568822553897136,300750.SZ
2020-03-19,60.64,61.51,58.18,59.54,22514220,2615607081,1.87,0.7104194857916024,300750.SZ
