date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,111.79,113.07,109.75,111.86,30667439,4038536854,0.81,,000858.SZ
2020-01-02,111.46,111.85,109.77,110.57,20469248,2672531470,0.54,-1.1532272483461559,000858.SZ
2020-01-05,110.1,110.31,108.85,109.42,25936979,3353682073,0.68,-1.04006511712037,000858.SZ
2020-01-06,109.68,111.01,109.25,109.57,22327793,2901574233,0.59,0.1370864558581486,000858.SZ
2020-01-07,109.25,109.9,108.45,109.16,16180218,2083242871,0.43,-0.3741900155151967,000858.SZ
2020-01-08,109.25,111.12,108.62,110.75,25549057,3317934212,0.67,1.4565775009160786,000858.SZ
2020-01-09,110.52,113.53,110.52,113.17,42969542,5712380855,1.13,2.185101580135451,000858.SZ
2020-01-12,113.71,118.57,113.7,118.28,49604194,6847185988,1.31,4.515330918087823,000858.SZ
2020-01-13,118.65,119.15,117.05,117.35,19907317,2767444878,0.52,-0.7862698681095792,000858.SZ
2020-01-14,117.35,120.95,117.34,119.25,23478904,3309331109,0.62,1.6190881976992033,000858.SZ
2020-01-15,119.25,120.26,117.98,119.13,14535988,2046672621,0.38,-0.10062893081761448,000858.SZ
2020-01-16,119.64,120.09,117.13,117.34,14847814,2068064059,0.39,-1.5025602283219919,000858.SZ
2020-01-19,119.04,119.13,115.86,116.5,16753769,2308928098,0.44,-0.7158684165672446,000858.SZ
2020-01-20,115.61,115.61,111.8,112.32,29307308,3903226854,0.77,-3.5879828326180307,000858.SZ
2020-01-21,110.94,112.36,109.9,111.54,25753051,3375415201,0.68,-0.6944444444444309,000858.SZ
2020-01-22,111.6,111.6,105.87,106.85,41593668,5294268764,1.1,-4.204769589384982,000858.SZ
2020-02-02,96.16,96.16,96.16,96.16,16763900,1903373206,0.44,-10.004679457182963,000858.SZ
2020-02-03,92.32,101.63,92.32,96.97,71021426,8017646168,1.87,0.8423460898502544,000858.SZ
2020-02-04,98.16,101.46,96.63,99.52,38878339,4546389350,1.02,2.6296792822522397,000858.SZ
2020-02-05,100.78,101.58,98.75,100.91,30655105,3619248778,0.81,1.396704180064301,000858.SZ
2020-02-06,101.0,102.42,99.61,102.12,28011695,3346691769,0.74,1.199088296501838,000858.SZ
2020-02-09,101.21,103.6,100.43,102.59,22187650,2682789606,0.58,0.460242851547199,000858.SZ
2020-02-10,102.61,106.29,102.61,105.69,24577382,3049430907,0.65,3.021737011404624,000858.SZ
2020-02-11,105.44,106.08,103.98,105.43,17511362,2168783486,0.46,-0.24600246002459691,000858.SZ
2020-02-12,105.76,107.27,104.49,105.14,17862884,2230165010,0.47,-0.27506402352271975,000858.SZ
2020-02-13,105.19,106.61,103.71,104.54,16971973,2094049251,0.45,-0.5706676811869871,000858.SZ
2020-02-16,104.32,105.27,103.82,105.27,23816908,2941280509,0.63,0.698297302467954,000858.SZ
2020-02-17,104.85,105.27,104.18,104.5,12872775,1590249168,0.34,-0.7314524555903867,000858.SZ
2020-02-18,104.83,107.71,103.9,106.71,31662776,3976674952,0.83,2.1148325358851583,000858.SZ
2020-02-19,107.56,110.59,107.47,110.23,33466160,4332207305,0.88,3.2986599194077426,000858.SZ
2020-02-20,110.1,111.12,109.27,110.1,20743751,2695003477,0.55,-0.11793522634492293,000858.SZ
2020-02-23,109.59,109.59,107.31,107.64,23560124,3005249413,0.62,-2.2343324250681196,000858.SZ
2020-02-24,105.7,107.56,104.9,106.12,24063330,3014293143,0.63,-1.4121144555927168,000858.SZ
2020-02-25,104.88,107.07,104.17,105.1,21417866,2662201890,0.56,-0.961176027139099,000858.SZ
