date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,46.93,47.92,46.73,47.8,34622557,2050141335,0.51,,000333.SZ
2020-01-02,47.92,47.97,46.55,46.61,27004255,1587220595,0.4,-2.489539748953973,000333.SZ
2020-01-05,46.24,46.56,44.8,45.76,28842533,1656276948,0.42,-1.8236429950654443,000333.SZ
2020-01-06,45.92,46.57,45.76,46.44,22526507,1304633782,0.33,1.4860139860139787,000333.SZ
2020-01-07,46.01,47.19,45.9,46.63,25321048,1471083460,0.37,0.4091300602928616,000333.SZ
2020-01-08,47.04,47.79,46.8,47.56,29635395,1757281375,0.44,1.99442419043534,000333.SZ
2020-01-09,47.98,48.4,47.56,48.0,28070612,1683152339,0.41,0.925147182506314,000333.SZ
2020-01-12,48.4,48.53,47.6,48.09,27951167,1678723651,0.41,0.1875000000000071,000333.SZ
2020-01-13,48.4,48.64,47.78,47.91,16250035,976486535,0.24,-0.37429819089208616,000333.SZ
2020-01-14,47.92,48.0,47.11,47.6,21489973,1272651578,0.32,-0.6470465456063335,000333.SZ
2020-01-15,48.0,48.05,47.39,47.73,19981398,1192330868,0.29,0.273109243697478,000333.SZ
2020-01-16,48.0,48.8,47.6,48.25,21713278,1312054699,0.32,1.0894615545778308,000333.SZ
2020-01-19,48.64,48.77,47.87,48.16,20191079,1217493005,0.3,-0.18652849740933286,000333.SZ
2020-01-20,47.76,47.81,46.43,46.48,27643206,1617441935,0.41,-3.488372093023251,000333.SZ
2020-01-21,46.02,46.37,44.8,45.99,41160619,2335993233,0.6,-1.0542168674698704,000333.SZ
2020-01-22,44.88,45.4,44.0,44.08,59653651,3313820978,0.88,-4.153076755816487,000333.SZ
2020-02-02,39.68,42.08,39.68,40.16,70506720,3565939364,1.04,-8.892921960072597,000333.SZ
2020-02-03,40.24,42.26,40.24,42.24,40413099,2097010018,0.59,5.179282868525914,000333.SZ
2020-02-04,42.34,42.78,41.96,42.3,34895006,1848774201,0.51,0.14204545454543638,000333.SZ
2020-02-05,42.3,43.17,41.89,43.04,39366799,2086495959,0.58,1.7494089834515503,000333.SZ
2020-02-06,42.8,42.83,41.76,42.27,34409001,1811882957,0.51,-1.7890334572490563,000333.SZ
2020-02-09,41.84,42.23,41.38,41.84,34604769,1804543411,0.51,-1.0172699313934275,000333.SZ
2020-02-10,42.56,44.0,42.24,43.75,49388233,2684341234,0.72,4.565009560229427,000333.SZ
2020-02-11,43.66,44.29,43.22,43.92,23433771,1284759463,0.34,0.388571428571427,000333.SZ
2020-02-12,43.65,43.67,42.8,43.04,31930659,1723256903,0.47,-2.0036429872495543,000333.SZ
2020-02-13,42.8,43.17,42.55,43.0,21004387,1125281556,0.31,-0.09293680297397522,000333.SZ
2020-02-16,42.68,43.54,42.6,43.52,32505251,1751927715,0.48,1.2093023255814073,000333.SZ
2020-02-17,43.52,43.52,42.66,42.83,33203504,1783036933,0.49,-1.585477941176483,000333.SZ
2020-02-18,42.69,43.1,42.54,42.84,23732854,1270519685,0.35,0.02334812047630752,000333.SZ
2020-02-19,42.96,43.99,42.66,43.89,37041152,2013322150,0.54,2.450980392156854,000333.SZ
2020-02-20,43.6,43.86,43.22,43.43,29779869,1616397369,0.44,-1.0480747322852646,000333.SZ
2020-02-23,44.29,44.3,43.56,43.93,40782414,2243496137,0.6,1.1512779184895239,000333.SZ
2020-02-24,43.2,43.57,43.04,43.55,31546203,1706738502,0.46,-0.8650125199180625,000333.SZ
2020-02-25,42.96,44.26,42.57,43.44,38724015,2107804633,0.57,-0.2525832376578663,000333.SZ
2020-02-26,43.44,44.16,43.37,43.93,28493463,1563743469,0.42,1.127992633517505,000333.SZ
2020-02-27,43.11,43.35,42.24,42.44,33405713,1788324822,0.49,-3.39175961757342,000333.SZ
2020-03-01,42.44,43.8,42.44,43.48,31893449,1725854576,0.47,2.4505183788878337,000333.SZ
2020-03-02,43.61,44.0,43.18,43.6,26499919,1441435067,0.39,0.2759889604415866,000333.SZ
2020-03-03,43.2,43.56,42.89,43.4,23908427,1290728835,0.35,-0.4587155963302836,000333.SZ
2020-03-04,43.64,45.44,43.48,45.24,57571838,3214972954,0.84,4.239631336405547,000333.SZ
2020-03-05,44.66,45.04,44.44,44.64,28024324,1565437998,0.41,-1.326259946949604,000333.SZ
2020-03-08,43.52,43.58,43.05,43.12,35634254,1925269108,0.52,-3.405017921146958,000333.SZ
2020-03-09,43.12,44.55,43.12,44.26,37563181,2061033028,0.55,2.643784786641934,000333.SZ
2020-03-10,44.1,44.26,43.57,43.58,19260673,1053884394,0.28,-1.5363759602349703,000333.SZ
2020-03-11,43.08,43.1,42.31,42.54,34405501,1833239648,0.5,-2.3864157870582825,000333.SZ
2020-03-12,40.7,42.37,40.06,41.52,45208351,2323212180,0.66,-2.3977433004231163,000333.SZ
2020-03-15,41.76,41.82,40.0,40.08,39667900,2019157775,0.58,-3.4682080924855585,000333.SZ
2020-03-16,39.7,41.04,38.86,39.2,47708177,2365286578,0.7,-2.195608782435121,000333.SZ
2020-03-17,39.76,41.52,39.67,39.76,58605924,2974941630,0.86,1.4285714285714235,000333.SZ
2020-03-18,40.28,40.48,38.0,38.88,55486856,2708244368,0.81,-2.2132796780684028,000333.SZ
2020-03-19,39.4,39.79,38.8,39.24,36706699,1803574241,0.54,0.92592592592593,000333.SZ
2020-03-22,38.0,38.39,37.04,37.2,47703623,2237270202,0.7,-5.198776758409784,000333.SZ
2020-03-23,37.88,38.6,37.53,38.4,41957601,2000208162,0.61,3.2258064516129004,000333.SZ
2020-03-24,39.6,40.13,39.09,39.6,39011329,1934918463,0.57,3.125,000333.SZ
2020-03-25,39.52,39.82,39.08,39.2,23248406,1145809963,0.34,-1.0101010101010055,000333.SZ
2020-03-26,40.0,40.36,39.51,39.56,26015438,1296483242,0.38,0.9183673469387754,000333.SZ
2020-03-29,39.04,39.04,38.0,38.48,37052228,1778812488,0.54,-2.7300303336703857,000333.SZ
2020-03-30,39.01,39.48,38.68,38.74,22525299,1098690179,0.33,0.6756756756756799,000333.SZ
