date,open,high,low,close,volume
2016-11-03,22.154,22.583,22.139,22.517,41955.0
2016-11-04,22.517,22.524,22.065,22.065,45132.0
2016-11-07,21.857,23.287,21.45,22.828,78562.0
2016-11-08,22.598,23.257,22.598,23.183,69132.0
2016-11-09,23.205,23.472,22.08,22.991,85935.0
2016-11-10,23.339,23.554,23.02,23.117,52590.0
2016-11-11,23.117,23.191,22.376,22.805,59579.0
2016-11-14,22.887,23.62,22.805,23.257,73878.0
2016-11-15,23.265,23.768,22.968,23.331,60203.0
2016-11-16,23.265,23.554,23.198,23.272,45256.0
2016-11-17,23.317,23.317,22.598,22.694,35637.0
2016-11-18,22.694,22.746,22.391,22.413,29872.0
2016-11-21,22.45,22.583,21.857,22.005,54774.0
2016-11-22,22.324,22.783,22.013,22.302,56204.0
2016-11-23,22.376,22.494,22.05,22.124,50695.0
2016-11-24,22.013,22.235,21.339,21.472,48935.0
2016-11-25,21.635,21.828,21.102,21.694,38806.0
2016-11-28,21.82,21.909,21.22,21.287,50709.0
2016-11-29,21.302,21.546,20.383,20.487,64348.0
2016-11-30,20.487,20.783,20.154,20.472,50319.0
2016-12-01,20.457,20.746,20.383,20.643,33557.0
2016-12-02,20.754,20.754,19.694,19.717,41833.0
2016-12-05,19.398,19.657,18.961,18.991,48071.0
2016-12-06,19.124,19.302,18.828,19.235,46361.0
2016-12-07,19.013,19.776,18.991,19.672,45598.0
2016-12-08,19.709,19.783,19.191,19.205,34838.0
2016-12-09,19.213,19.561,18.968,19.376,37929.0
2016-12-12,19.376,19.487,17.161,17.161,78663.0
2016-12-13,16.635,17.168,15.946,16.894,84323.0
2016-12-14,16.857,17.02,16.302,16.583,52409.0
2016-12-15,16.561,17.131,16.465,16.968,44781.0
2016-12-16,17.102,17.88,16.968,17.583,78359.0
2016-12-19,17.687,17.694,16.954,17.183,47227.0
2016-12-20,17.154,17.154,16.894,17.131,22261.0
2016-12-21,17.28,17.517,17.205,17.376,31367.0
2016-12-22,17.191,17.376,16.998,17.124,33070.0
2016-12-23,17.191,17.635,17.117,17.22,44297.0
2016-12-26,17.08,17.405,16.643,17.383,39192.0
2016-12-27,17.361,17.635,17.235,17.554,45907.0
2016-12-28,17.709,17.991,17.25,17.25,56794.0
2016-12-29,17.183,17.183,16.865,16.902,34146.0
2016-12-30,16.82,17.05,16.783,16.894,20293.0
2017-01-03,16.954,17.235,16.82,16.939,28649.0
2017-01-04,17.043,18.235,16.954,18.213,120982.0
2017-01-05,17.931,18.168,17.768,17.939,68211.0
2017-01-06,17.724,18.072,17.68,17.917,54882.0
2017-01-09,17.924,18.82,17.761,18.628,79591.0
2017-01-10,18.487,18.724,18.22,18.22,48392.0
2017-01-11,18.168,18.65,17.991,18.243,41509.0
2017-01-12,18.102,18.302,17.939,17.991,31569.0
2017-01-13,17.865,18.443,17.561,18.005,42131.0
2017-01-16,18.005,18.005,15.924,16.672,64796.0
2017-01-17,16.457,17.309,16.302,17.168,43988.0
2017-01-18,16.976,17.183,16.45,16.62,30033.0
2017-01-19,16.48,16.657,16.235,16.591,23067.0
2017-01-20,16.591,17.487,16.487,17.243,43838.0
2017-01-23,17.294,17.783,17.117,17.287,37081.0
2017-01-24,17.272,17.539,17.057,17.398,31177.0
2017-01-25,17.361,17.628,17.072,17.561,36080.0
2017-01-26,17.635,18.08,17.568,18.072,49390.0
2017-02-03,18.028,18.124,17.776,17.813,22808.0
2017-02-06,17.776,18.354,17.635,18.183,52695.0
2017-02-07,18.131,18.176,17.709,17.82,33933.0
2017-02-08,17.687,18.198,17.687,18.139,40468.0
2017-02-09,18.065,18.243,17.872,18.168,38831.0
2017-02-10,18.198,18.205,17.724,17.798,40863.0
2017-02-13,17.605,17.998,17.413,17.998,40894.0
2017-02-14,17.991,18.035,17.798,17.865,22287.0
